method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
182,org_apache_kafka_test_MockMapper_selectValueMapper,1,0,3,0,0,0,0
183,org_apache_kafka_test_TestSslUtils_createSslConfig,2,7,6,2,0,0,0
184,org_apache_kafka_test_TestUtils_waitForCondition,1,2,8,3,0,0,0
185,org_apache_kafka_test_InternalMockProcessorContext_InternalMockProcessorContext,1,1,10,6,36,10,6
186,org_apache_kafka_connect_data_Field_index,1,0,7,0,0,0,0
187,org_apache_kafka_connect_connector_ConnectRecord_newRecord,1,8,14,0,0,0,0
188,org_apache_kafka_test_StateStoreProviderStub_addStore,1,3,3,1,0,0,0
189,org_apache_kafka_connect_errors_AlreadyExistsException_AlreadyExistsException,1,2,3,0,3,1,3
190,org_apache_kafka_connect_data_SchemaBuilder_version,1,1,11,1,0,0,0
191,org_apache_kafka_connect_data_Values_convertToDouble,1,2,11,1,0,0,0
192,org_apache_kafka_connect_data_Values_convertToDate,1,2,11,1,0,0,0
193,org_apache_kafka_connect_data_Struct_getBoolean,1,1,6,1,0,0,0
194,org_apache_kafka_connect_data_Values_appendIterable,3,2,9,1,0,0,0
195,org_apache_kafka_connect_data_Decimal_fromLogical,2,2,10,1,0,0,0
196,org_apache_kafka_connect_storage_StringConverter_configure,1,2,5,1,5,4,2
197,org_apache_kafka_connect_source_SourceTask_stop,1,0,8,0,0,0,0
198,org_apache_kafka_connect_storage_MemoryConfigBackingStore_setUpdateListener,1,1,3,0,0,0,0
199,org_apache_kafka_connect_header_ConnectHeaders_retainLatest,5,1,15,3,2,1,2
200,org_apache_kafka_connect_storage_StatusBackingStore_put,1,1,5,0,0,0,0
201,org_apache_kafka_connect_transforms_Cast_castToFloat32,4,1,6,0,1,1,1
202,org_apache_kafka_connect_storage_MemoryConfigBackingStore_MemoryConfigBackingStore,1,1,3,0,0,0,0
203,org_apache_kafka_connect_transforms_SetSchemaMetadata_operatingSchema,1,1,1,0,0,0,0
204,org_apache_kafka_connect_transforms_TimestampConverter_operatingValue,1,1,1,0,0,0,0
205,org_apache_kafka_connect_transforms_Flatten_operatingSchema,1,1,1,0,0,0,0
206,org_apache_kafka_connect_transforms_HoistField_operatingSchema,1,1,1,0,0,0,0
207,org_apache_kafka_connect_util_TopicCreation_findFirstGroup,1,1,8,0,0,0,0
208,org_apache_kafka_connect_util_ShutdownableThread_ShutdownableThread,2,2,5,1,0,0,0
209,org_apache_kafka_connect_file_FileStreamSinkTask_logFilename,1,0,3,0,0,0,0
210,org_apache_kafka_connect_file_FileStreamSourceTask_extractLine,7,0,26,0,0,0,0
211,org_apache_kafka_connect_json_JsonDeserializer_JsonDeserializer,1,2,7,1,0,0,0
212,org_apache_kafka_connect_mirror_MirrorConnectorConfig_MirrorConnectorConfig,1,2,3,1,1,1,1
213,org_apache_kafka_connect_mirror_OffsetSyncStore_OffsetSyncStore,1,2,4,0,4,3,2
214,org_apache_kafka_connect_mirror_MirrorUtils_newConsumer,1,1,3,0,1,1,1
215,org_apache_kafka_connect_json_JsonConverterTest_parse,1,1,9,0,0,0,0
216,org_apache_kafka_connect_mirror_MirrorMetrics_replicationLatency,1,2,3,0,1,1,1
217,org_apache_kafka_connect_mirror_MirrorConnectorConfig_targetClusterAlias,1,0,3,0,1,1,1
218,org_apache_kafka_connect_mirror_MirrorUtils_createSinglePartitionCompactedTopic,1,3,3,1,0,0,0
219,org_apache_kafka_connect_runtime_Herder_validateConnectorConfig,1,3,10,1,0,0,0
220,org_apache_kafka_connect_mirror_ReplicationPolicy_originalTopic,2,1,13,2,0,0,0
221,org_apache_kafka_connect_runtime_ConnectorConfig_ConnectorConfig,1,2,4,4,1,1,1
222,org_apache_kafka_connect_mirror_MirrorClient_isHeartbeatTopic,1,1,3,0,0,0,0
223,org_apache_kafka_connect_converters_NumberConverterTest_createConverter,1,0,1,0,0,0,0
224,org_apache_kafka_connect_runtime_WorkerTask_recordCommitSuccess,1,1,7,0,0,0,0
225,org_apache_kafka_connect_runtime_Herder_connectors,1,0,5,0,0,0,0
226,org_apache_kafka_connect_runtime_ConnectorStatus_ConnectorStatus,1,4,3,0,2,1,2
227,org_apache_kafka_connect_runtime_WorkerSinkTask_WorkerSinkTask,1,17,27,0,4,3,2
228,org_apache_kafka_connect_runtime_WorkerConnector_doTransitionTo,2,2,13,4,3,2,2
229,org_apache_kafka_connect_runtime_WorkerConfig_logPluginPathConfigProviderWarning,2,1,7,0,1,1,1
230,org_apache_kafka_connect_runtime_WorkerConfig_getRebalanceTimeout,1,0,3,0,0,0,0
231,org_apache_kafka_connect_runtime_TaskStatus_TaskStatus,1,4,3,0,2,1,2
232,org_apache_kafka_connect_runtime_Worker_stopAndAwaitTasks,1,1,8,3,0,0,0
233,org_apache_kafka_connect_runtime_WorkerConfig_WorkerConfig,1,2,5,1,1,1,1
234,org_apache_kafka_connect_runtime_Worker_isSinkConnector,2,1,18,0,5,3,2
235,org_apache_kafka_connect_runtime_InternalSinkRecord_InternalSinkRecord,1,11,4,0,12,2,8
236,org_apache_kafka_message_VersionConditional_generateUpperRangeCheck,4,3,22,0,5,3,3
237,org_apache_kafka_connect_runtime_rest_resources_ConnectorPluginsResourceTest_newInfo,1,1,3,0,2,1,2
238,org_apache_kafka_connect_runtime_MockConnectMetrics_MockConnectMetrics,1,0,3,1,4,3,2
239,org_apache_kafka_connect_runtime_rest_entities_ConfigValueInfo_ConfigValueInfo,1,5,7,0,0,0,0
