method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
1418,io_realm_mongodb_UserProfile_UserProfile,1,1,3,0,0,0,0
1419,io_realm_internal_Table_nativeFindFirstDouble,1,3,1,0,0,0,0
1420,io_realm_log_RealmLog_nativeCreateCoreLoggerBridge,1,1,1,0,0,0,0
1421,io_realm_internal_Table_nativeFindFirstNull,1,2,1,0,0,0,0
1422,io_realm_mongodb_UserProfile_getGender,1,0,7,0,1,1,1
1423,io_realm_internal_Table_nativeCountDouble,1,3,1,0,0,0,0
1424,io_realm_internal_objectstore_OsSyncUser_getAccessToken,1,0,3,1,0,0,0
1425,io_realm_internal_TableQuery_maximumFloat,1,1,4,2,0,0,0
1426,io_realm_internal_TableQuery_find,1,0,7,2,0,0,0
1427,io_realm_internal_OsSharedRealm_nativeRegisterSchemaChangedCallback,1,2,1,0,0,0,0
1428,io_realm_internal_TableQuery_maximumInt,1,1,4,2,0,0,0
1429,io_realm_RealmConfiguration_realmExists,1,0,10,0,0,0,0
1430,io_realm_FrozenObjectsTests_writeToFrozenObjectThrows,1,0,2,0,11,4,6
1431,io_realm_ManagedRealmCollectionTests_runMethodOnWrongThread,24,2,81,0,4,1,4
1432,io_realm_MutableRealmObjectSchema_checkAddPrimaryKeyForSync,2,0,5,0,1,1,1
1433,io_realm_BaseRealm_setAutoRefresh,1,1,14,1,1,1,1
1434,io_realm_BaseRealm_getSchema,1,0,5,0,0,0,0
1435,io_realm_entities_AllTypesPrimaryKey_getColumnString,1,0,3,0,0,0,0
1436,io_realm_BaseRealm_get,2,3,13,3,18,6,6
1437,io_realm_OrderedRealmCollectionImpl_getColumnKeyForSort,4,1,13,0,2,2,1
1438,io_realm_internal_android_AndroidCapabilities_isIntentServiceThread,1,0,4,0,0,0,0
1439,io_realm_instrumentation_ActivityLifecycle_ActivityLifecycle,1,1,3,0,0,0,0
1440,io_realm_internal_ObjectServerFacade_wrapObjectStoreSessionIfRequired,1,1,2,0,0,0,0
1441,io_realm_internal_objectstore_OsObjectBuilder_nativeAddString,1,3,1,0,0,0,0
1442,io_realm_entities_AllJavaTypes_setFieldFloat,1,1,3,0,0,0,0
1443,io_realm_entities_AllJavaTypes_getFieldList,1,0,3,0,0,0,0
1444,io_realm_entities_AllJavaTypes_getFieldObject,1,0,3,0,0,0,0
1445,io_realm_entities_AllJavaTypes_getFieldBinary,1,0,3,0,0,0,0
1446,io_realm_entities_CyclicType_setObject,1,1,3,0,0,0,0
1447,io_realm_mongodb_App_getSync,1,0,8,0,0,0,0
1448,io_realm_entities_NullTypes_setFieldShortNotNull,1,1,3,0,0,0,0
1449,io_realm_examples_rxjava_MyApplication_createTestData,2,0,2,0,3,2,2
1450,io_realm_RealmSchema_haveColumnInfo,1,0,3,0,0,0,0
1451,io_realm_examples_unittesting_model_Person_getName,1,0,3,0,0,0,0
1452,io_realm_RealmSchema_checkColumnKeys,2,0,5,1,0,0,0
1453,io_realm_examples_arch_PersonListFragment_create,1,0,3,0,0,0,0
1454,io_realm_entities_RandomPrimaryKey_RandomPrimaryKey,1,0,2,0,0,0,0
1455,some_test_NullTypes_realmSet$fieldStringNotNull,1,1,3,0,0,0,0
1456,io_realm_MutableRealmSchema_get,2,1,9,0,6,5,2
1457,io_realm_entities_StringOnlyRequired_setChars,1,1,3,0,0,0,0
1458,io_realm_RealmQuery_beginGroup,1,0,10,0,1,1,1
1459,some_test_Final_realmGet$name,1,0,3,0,0,0,0
1460,io_realm_mongodb_auth_ApiKeyAuth_getUser,1,0,7,0,0,0,0
1461,io_realm_examples_threads_model_Dot_getColor,1,0,3,0,0,0,0
1462,io_realm_entities_AllJavaTypes_getFieldDecimal128,1,0,3,0,0,0,0
1463,io_realm_entities_AnnotationTypes_setIndexString,1,1,3,0,0,0,0
1464,io_realm_DynamicRealmObject_setDate,2,2,16,0,6,3,3
1465,io_realm_examples_librarymodules_Zoo_Zoo,1,0,4,0,1,1,1
1466,io_realm_internal_Row_setNull,1,1,1,0,0,0,0
1467,some_test_AllTypes_realmSet$columnBoolean,1,1,3,0,0,0,0
1468,io_realm_entities_IOSAllTypes_getDateCol,1,0,3,0,0,0,0
1469,io_realm_entities_NullTypes_getFieldByteNotNull,1,0,3,0,0,0,0
1470,io_realm_entities_NullTypes_setFieldByteNotNull,1,1,3,0,0,0,0
1471,io_realm_examples_librarymodules_Zoo_close,1,0,3,0,1,1,1
1472,some_test_NullTypes_realmGet$fieldFloatNotNull,1,0,3,0,0,0,0
1473,io_realm_internal_Table_findFirstDecimal128,2,2,6,1,0,0,0
1474,io_realm_DynamicRealm_getInstance,2,1,14,0,1,1,1
1475,io_realm_entities_DefaultValueSetter_setFieldLong,1,1,3,0,0,0,0
1476,io_realm_entities_NullTypes_getFieldLongNull,1,0,3,0,0,0,0
1477,some_test_Simple_realmSet$name,1,1,3,0,0,0,0
1478,some_test_NullTypes_realmSet$fieldDateNotNull,1,1,3,0,0,0,0
1479,io_realm_entities_DefaultValueSetter_setFieldDate,1,1,3,0,0,0,0
1480,io_realm_examples_appmodules_ModulesExampleActivity_showStatus,1,1,6,0,0,0,0
1481,io_realm_entities_AllJavaTypes_getFieldLong,1,0,3,0,0,0,0
1482,io_realm_examples_realmmultiprocessexample_models_ProcessInfo_setLastResponseDate,1,1,3,0,0,0,0
1483,io_realm_examples_realmmultiprocessexample_Utils_createStandaloneProcessInfo,1,1,7,1,3,1,3
1484,io_realm_examples_intro_IntroExampleActivity_basicLinkQuery,1,1,2,1,6,3,3
1485,io_realm_examples_intro_model_Person_getName,1,0,3,0,0,0,0
1486,io_realm_examples_realmmultiprocessexample_Utils_getMyProcessName,4,1,19,0,0,0,0
1487,io_realm_entities_AllJavaTypes_getFieldIntegerList,1,0,3,0,0,0,0
1488,io_realm_processor_RealmCounterProcessorTest_createCounterTestClass,1,0,3,0,0,0,0
1489,io_realm_entities_Dog_getOwner,1,0,3,0,0,0,0
1490,some_test_Booleans_realmSet$anotherBoolean,1,1,3,0,0,0,0
1491,io_realm_entities_AllJavaTypes_getFieldId,1,0,3,0,0,0,0
1492,io_realm_entities_NoPrimaryKeyNullTypes_setFieldIntegerNull,1,1,3,0,0,0,0
1493,io_realm_entities_NoPrimaryKeyNullTypes_setFieldDateNull,1,1,3,0,0,0,0
1494,io_realm_entities_NoPrimaryKeyNullTypes_setFieldIntegerNotNull,1,1,3,0,0,0,0
1495,io_realm_entities_NoPrimaryKeyNullTypes_setFieldShortNull,1,1,3,0,0,0,0
1496,io_realm_entities_PrimaryKeyAsBoxedByte_setId,1,1,3,0,0,0,0
1497,io_realm_entities_NoPrimaryKeyNullTypes_setFieldDateNotNull,1,1,3,0,0,0,0
1498,io_realm_entities_NullTypes_getFieldDecimal128Null,1,0,3,0,0,0,0
1499,io_realm_entities_NonLatinFieldNames_setwlhhh,1,1,3,0,0,0,0
1500,io_realm_entities_AnnotationIndexTypes_setIndexString,1,1,3,0,0,0,0
1501,io_realm_entities_AllTypes_getColumnDate,1,0,3,0,0,0,0
1502,io_realm_entities_NullTypes_getFieldObjectIdNotNull,1,0,3,0,0,0,0
1503,io_realm_entities_AllTypes_setColumnDouble,1,1,3,0,0,0,0
1504,io_realm_LinkingObjectsManagedTests_insert_modelWithRenamedTargetFields,1,0,7,0,0,0,0
1505,io_realm_RealmCollectionTests_createEmptyCollection,7,2,24,0,9,7,2
1506,io_realm_DynamicRealmTests_deleteAll,1,0,22,0,11,6,4
1507,io_realm_RealmSchemaTests_rename_shouldChangeInfoInPKTable,2,0,22,0,0,0,0
1508,io_realm_MutableRealmInteger_equals,3,1,16,1,0,0,0
1509,io_realm_SortTest_populateDates,2,2,9,0,5,3,2
1510,io_realm_FrozenObjectsTests_insertOrUpdateList,1,0,2,0,4,2,2
1511,io_realm_RealmTests_copyToRealm_cyclicObjectReferencesWithPK,1,0,23,0,0,0,0
